
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                          obj1                         	                          obj2                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg   	gen	max    	min    	nevals	std   	time   	avg    	gen	max   	min    	nevals	std    	time   
0  	1024  	226.73	0  	272.333	206.734	1024  	13.635	1.03952	91.4499	0  	92.751	83.6936	1024  	1.01717	1.03952
1  	1024  	192.083	1  	220.774	183.509	1024  	6.50931	2.01253	36.4011	1  	38.1051	29.4926	1024  	1.41134	2.01253
2  	1024  	215.058	2  	242.051	208.928	1024  	6.55561	2.35229	102.621	2  	109.337	88.4764	1024  	6.09596	2.35229
3  	1024  	198.333	3  	228.089	192.813	1024  	6.65814	2.33711	51.771 	3  	54.3303	42.7472	1024  	1.6925 	2.33711
4  	1024  	213.794	4  	244.449	209.985	1024  	5.93184	2.16699	63.056 	4  	66.3059	54.3464	1024  	1.7246 	2.16699
5  	1024  	192.961	5  	224.766	189.433	1024  	5.47619	1.95406	44.6582	5  	47.4959	36.7186	1024  	2.2981 	1.95406
6  	1024  	180.87 	6  	193.303	177.673	1024  	3.89633	1.37106	5.98194	6  	6.53532	4.7749 	1024  	0.53676	1.37106
7  	1024  	183.146	7  	196.429	179.846	1024  	4.14619	1.35318	11.9357	7  	14.5742	8.7497 	1024  	1.59552	1.35318
8  	1024  	186.019	8  	198.936	182.595	1024  	3.80027	1.4866 	11.5917	8  	13.114 	8.78532	1024  	0.992202	1.4866 
9  	1024  	191.3  	9  	207.476	187.451	1024  	4.06514	1.68557	35.894 	9  	41.0764	31.0908	1024  	2.48072 	1.68557
10 	1024  	193.219	10 	212.046	191.535	1024  	2.30309	1.87815	56.1519	10 	64.6471	43.602 	1024  	3.57483 	1.87815
11 	1024  	197.435	11 	213.323	195.53 	1024  	2.35909	1.96193	44.4928	11 	46.7575	40.1939	1024  	2.03535 	1.96193
12 	1024  	184.276	12 	197.755	181.34 	1024  	3.41253	1.76828	21.9285	12 	24.596 	17.9237	1024  	1.97522 	1.76828
13 	1024  	189.983	13 	204.122	187.046	1024  	3.19306	1.83114	34.7618	13 	38.4944	28.6202	1024  	2.63235 	1.83114
14 	1024  	192.731	14 	206.342	189.753	1024  	3.03767	1.77349	28.1868	14 	32.4489	23.4288	1024  	2.77994 	1.77349
