
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg  	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.46	0  	92.751	79.6639	1024  	1.14101	1.11719	225.875	0  	267.618	206.586	1024  	13.2705	1.11719
1  	1024  	90.6022	1  	92.6359	79.6639	1024  	1.30959	2.2023 	217.416	1  	247.347	206.586	1024  	8.36228	2.2023 
2  	1024  	89.9248	2  	92.1027	79.6639	1024  	1.67516	2.2379 	214.574	2  	247.347	206.586	1024  	7.96126	2.2379 
3  	1024  	89.3936	3  	92.1027	79.6639	1024  	2.14461	2.2318 	211.524	3  	247.347	206.586	1024  	6.26721	2.2318 
4  	1024  	88.8379	4  	91.956 	73.4022	1024  	2.6672 	2.18053	210.178	4  	247.347	206.586	1024  	5.70017	2.18053
5  	1024  	88.2278	5  	91.956 	73.4022	1024  	3.16571	2.01591	209.982	5  	234.464	206.581	1024  	5.36234	2.01591
6  	1024  	87.8139	6  	91.834 	73.4022	1024  	3.57437	2.06342	209.482	6  	229.064	206.581	1024  	4.38921	2.06342
7  	1024  	87.175 	7  	91.834 	73.4022	1024  	3.887  	2.02961	209.486	7  	227.707	206.581	1024  	4.43472	2.02961
8  	1024  	86.2883	8  	91.4099	73.4022	1024  	4.10091	2.07197	209.909	8  	229.772	206.581	1024  	5.02722	2.07197
9  	1024  	85.5254	9  	91.1005	73.4022	1024  	4.34125	1.97033	210.277	9  	227.707	206.581	1024  	5.39707	1.97033
10 	1024  	85.1906	10 	90.8814	73.4022	1024  	4.52423	1.99318	209.644	10 	227.704	206.581	1024  	3.88746	1.99318
11 	1024  	85.4268	11 	91.0913	73.4022	1024  	4.39195	2.05299	208.793	11 	226.574	206.581	1024  	2.92679	2.05299
12 	1024  	85.2485	12 	91.4683	73.4022	1024  	4.57166	2.08617	208.571	12 	229.844	206.509	1024  	2.76624	2.08617
13 	1024  	85.3659	13 	91.4683	73.4022	1024  	4.64693	2.02878	208.168	13 	223.607	206.501	1024  	2.24924	2.02878
14 	1024  	85.5681	14 	91.4683	73.3339	1024  	4.80924	2.00552	207.851	14 	223.607	206.493	1024  	2.0244 	2.00552
15 	1024  	84.3269	15 	91.4683	72.7936	1024  	4.94479	1.95655	208.051	15 	228.983	206.485	1024  	2.01936	1.95655
16 	1024  	83.6724	16 	91.857 	72.7936	1024  	5.26224	1.91515	208.126	16 	228.983	206.483	1024  	2.22171	1.91515
