
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std  	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4433	0  	92.751	79.6639	1024  	1.211	1.03808	227.856	0  	275.289	206.652	1024  	13.9325	1.03808
1  	1024  	36.342 	1  	38.0785	27.5092	1024  	1.39313	2.09968	192.976	1  	218.418	183.639	1024  	6.55039	2.09968
2  	1024  	102.302	2  	109.337	83.1424	1024  	6.49688	2.42873	215.357	2  	243.5  	208.829	1024  	6.48739	2.42873
3  	1024  	51.5578	3  	54.4208	43.2533	1024  	1.99861	2.32629	198.566	3  	230.606	192.805	1024  	5.7065 	2.32629
4  	1024  	62.61  	4  	66.2785	54.3464	1024  	2.33917	2.2853 	213.335	4  	237.616	210.139	1024  	3.28086	2.2853 
5  	1024  	44.2812	5  	47.9322	36.4223	1024  	2.81971	1.98288	192.401	5  	210.152	189.363	1024  	3.07861	1.98288
6  	1024  	5.88604	6  	6.55196	4.22075	1024  	0.574793	1.35632	181.206	6  	193.303	177.67 	1024  	3.76991	1.35632
7  	1024  	11.7685	7  	14.4422	8.58632	1024  	1.69684 	1.34174	183.229	7  	196.429	179.828	1024  	4.05616	1.34174
8  	1024  	11.6466	8  	13.0141	9.05007	1024  	0.970778	1.42607	186.097	8  	200.686	182.806	1024  	3.58435	1.42607
9  	1024  	35.6523	9  	41.0764	27.95  	1024  	2.96028 	1.70888	191.409	9  	196.931	187.326	1024  	3.61006	1.70888
10 	1024  	55.5689	10 	64.7399	44.22  	1024  	4.26532 	1.89743	193.645	10 	199.981	191.542	1024  	2.3797 	1.89743
11 	1024  	44.3144	11 	46.9052	39.3437	1024  	2.16331 	1.94415	197.443	11 	213.519	195.474	1024  	2.31549	1.94415
12 	1024  	21.9123	12 	24.596 	18.801 	1024  	1.99532 	1.73811	184.201	12 	189.18 	181.281	1024  	3.18215	1.73811
13 	1024  	34.1829	13 	37.6799	29.3115	1024  	2.76169 	1.83313	190.212	13 	204.131	187.07 	1024  	3.23065	1.83313
14 	1024  	27.2606	14 	32.2352	23.1539	1024  	2.77276 	1.78744	193.275	14 	206.342	189.753	1024  	3.16862	1.78744
15 	1024  	40.7182	15 	46.1677	34.0955	1024  	3.62493 	1.86116	192.667	15 	215.287	190.385	1024  	2.7677 	1.86116
16 	1024  	67.7226	16 	73.5209	54.9113	1024  	5.59031 	1.82821	183.308	16 	205.146	181.395	1024  	2.76654	1.82821
17 	1024  	22.6107	17 	24.5393	18.926 	1024  	1.63444 	1.56142	192.615	17 	200.875	191.003	1024  	2.25935	1.56142
18 	1024  	13.5082	18 	16.7511	8.85147	1024  	2.47544 	1.51815	175.052	18 	190.27 	172.815	1024  	3.20042	1.51815
19 	1024  	14.1947	19 	15.3432	12.1   	1024  	0.821315	1.33806	177.367	19 	190.338	174.149	1024  	3.91486	1.33806
20 	1024  	9.19462	20 	11.9083	5.7764 	1024  	1.79114 	1.31889	179.412	20 	191.114	176.608	1024  	3.3485 	1.31889
21 	1024  	10.9735	21 	12.5768	8.64461	1024  	1.00237 	1.30951	165.083	21 	178.247	162.063	1024  	3.99973	1.30951
22 	1024  	40.4827	22 	47.2212	33.1977	1024  	4.18756 	1.95412	197.291	22 	211.803	195.111	1024  	2.80731	1.95412
23 	1024  	35.379 	23 	41.734 	29.697 	1024  	4.21732 	1.80393	192.384	23 	206.617	188.917	1024  	3.89713	1.80393
24 	1024  	31.0593	24 	42.1763	28.6339	1024  	2.05306 	1.39421	178.491	24 	190.474	173.038	1024  	4.73683	1.39421
25 	1024  	0.905361	25 	1.11741	0.558841	1024  	0.164777	1.18754	165.935	25 	179.626	162.787	1024  	4.79172	1.18754
26 	1024  	4.717   	26 	5.73745	3.70299 	1024  	0.689954	1.24642	182.489	26 	193.869	178.541	1024  	4.55893	1.24642
27 	1024  	5.71401 	27 	7.228  	4.36418 	1024  	0.920693	1.38654	177.846	27 	187.719	172.087	1024  	4.83276	1.38654
28 	1024  	29.2476 	28 	36.9646	24.7952 	1024  	4.48632 	1.82669	183.349	28 	195.348	178.882	1024  	3.61408	1.82669
29 	1024  	53.2215 	29 	58.9923	47.3566 	1024  	3.62464 	1.74656	197.419	29 	209.569	194.601	1024  	3.18402	1.74656
30 	1024  	32.6508 	30 	39.4504	26.571  	1024  	2.95657 	1.59691	188.528	30 	193.841	185.452	1024  	3.24485	1.59691
