
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std   	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4913	0  	92.751	79.6639	1024  	1.1372	1.17722	226.878	0  	268.559	206.586	1024  	13.5592	1.17722
1  	1024  	36.3953	1  	38.3301	27.5092	1024  	1.40186	2.11058	192.077	1  	217.627	183.589	1024  	6.4608 	2.11058
2  	1024  	102.823	2  	109.484	86.1615	1024  	6.09565	2.54392	214.617	2  	244.316	208.823	1024  	6.51835	2.54392
3  	1024  	51.3068	3  	54.1649	42.8738	1024  	2.02389	2.42285	198.184	3  	231.1  	192.815	1024  	6.25764	2.42285
4  	1024  	62.6637	4  	65.7177	53.2752	1024  	2.17142	2.31335	213.111	4  	242.38 	210.142	1024  	4.05341	2.31335
5  	1024  	44.293 	5  	47.6176	36.7186	1024  	2.96441	2.10084	192.049	5  	209.92 	189.426	1024  	3.46209	2.10084
6  	1024  	5.83987	6  	6.55196	4.76218	1024  	0.61581	1.46196	181.341	6  	194.001	177.669	1024  	3.78754	1.46196
7  	1024  	11.2416	7  	14.5742	8.21883	1024  	1.8555 	1.38766	184.497	7  	196.718	179.824	1024  	4.55807	1.38766
8  	1024  	11.6212	8  	13.1016	8.17763	1024  	1.10859	1.72717	186.163	8  	192.879	182.509	1024  	3.60477	1.72717
9  	1024  	35.4358	9  	41.0013	30.1272	1024  	2.95332	2.13594	191.698	9  	197.693	187.451	1024  	3.61846	2.13594
10 	1024  	55.2833	10 	64.9053	43.921 	1024  	4.08605	2.32497	193.869	10 	207.097	191.534	1024  	2.5995 	2.32497
11 	1024  	43.8696	11 	46.8183	38.9635	1024  	2.45212	2.43279	197.858	11 	214.387	195.531	1024  	2.65479	2.43279
12 	1024  	21.9203	12 	24.8387	18.6081	1024  	1.96868	2.22865	183.839	12 	198.755	181.331	1024  	2.95494	2.22865
13 	1024  	34.6548	13 	37.9986	29.0678	1024  	2.60408	2.20497	189.683	13 	198.266	187.07 	1024  	2.93927	2.20497
14 	1024  	28.3015	14 	32.6485	22.4234	1024  	2.84124	2.20617	192.174	14 	199.271	189.75 	1024  	2.74299	2.20617
15 	1024  	41.5069	15 	46.2023	36.0283	1024  	3.30873	2.22284	191.944	15 	205.744	190.404	1024  	2.00418	2.22284
16 	1024  	68.8733	16 	73.6386	59.3729	1024  	3.78613	2.17622	183.312	16 	201.875	181.395	1024  	2.83144	2.17622
17 	1024  	22.7224	17 	24.6924	18.9534	1024  	1.81458	1.91328	192.725	17 	198.876	190.992	1024  	2.48409	1.91328
