
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min  	nevals	std    	time   	avg   	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4283	0  	92.751	84.28	1024  	1.07153	1.12458	226.35	0  	268.559	206.586	1024  	13.6702	1.12458
1  	1024  	36.4385	1  	38.0604	28.8359	1024  	1.29826	2.22909	191.78	1  	217.212	183.589	1024  	6.23794	2.22909
2  	1024  	102.38 	2  	109.467	86.5679	1024  	6.40479	2.71207	214.31	2  	243.238	208.826	1024  	5.73642	2.71207
3  	1024  	51.5225	3  	54.0626	44.0197	1024  	1.8222 	2.62999	197.894	3  	227.162	192.815	1024  	5.59638	2.62999
4  	1024  	62.804 	4  	66.077 	54.5138	1024  	1.81836	2.57699	213.392	4  	242.696	210.151	1024  	4.66947	2.57699
5  	1024  	44.3783	5  	47.7459	36.4798	1024  	2.7472 	2.30174	191.968	5  	212.077	189.336	1024  	3.23587	2.30174
6  	1024  	5.93324	6  	6.55196	4.47661	1024  	0.567683	1.59434	180.958	6  	193.871	177.688	1024  	3.73727	1.59434
7  	1024  	11.7424	7  	14.4016	8.01629	1024  	1.71263 	1.55198	183.161	7  	196.622	179.851	1024  	3.90039	1.55198
8  	1024  	11.5475	8  	13.2849	8.46031	1024  	1.0505  	1.64569	186.623	8  	199.879	182.807	1024  	4.11133	1.64569
9  	1024  	35.3128	9  	41.2443	28.8584	1024  	2.80433 	1.9951 	191.173	9  	205.925	187.653	1024  	3.55104	1.9951 
10 	1024  	54.8916	10 	65.1718	42.4489	1024  	3.64329 	2.15235	193.513	10 	208.457	191.539	1024  	2.81933	2.15235
11 	1024  	43.3441	11 	46.7274	38.7515	1024  	2.54991 	2.22986	197.909	11 	213.658	195.53 	1024  	3.04639	2.22986
12 	1024  	21.6809	12 	24.6971	18.1386	1024  	2.27159 	2.02453	183.841	12 	197.979	181.362	1024  	3.61577	2.02453
13 	1024  	34.4343	13 	38.3918	28.6727	1024  	2.85998 	2.0257 	189.878	13 	205.028	187.069	1024  	3.60972	2.0257 
14 	1024  	27.235 	14 	32.2352	22.8965	1024  	3.19302 	2.04112	192.97 	14 	206.899	189.753	1024  	3.97763	2.04112
15 	1024  	40.5125	15 	46.098 	33.0531	1024  	3.46929 	2.08517	192.791	15 	199.536	190.461	1024  	2.59634	2.08517
16 	1024  	68.4874	16 	73.6335	55.0359	1024  	4.19864 	2.02862	183.979	16 	199.139	181.395	1024  	3.45719	2.02862
17 	1024  	22.774 	17 	24.5393	18.9072	1024  	1.59733 	1.7773 	192.364	17 	208.599	191.005	1024  	2.46236	1.7773 
18 	1024  	14.6672	18 	16.7511	8.76153	1024  	2.4811  	1.74922	174.426	18 	189.178	172.82 	1024  	2.98924	1.74922
19 	1024  	14.4353	19 	15.3339	12.1   	1024  	0.98004 	1.53544	176.374	19 	190.191	174.18 	1024  	3.49037	1.53544
20 	1024  	9.87011	20 	11.9239	6.80096	1024  	1.79788 	1.48453	178.474	20 	185.153	176.709	1024  	2.81226	1.48453
21 	1024  	11.0554	21 	12.5671	8.73407	1024  	1.2994  	1.51846	164.471	21 	178.247	162.064	1024  	3.7213 	1.51846
22 	1024  	41.7589	22 	47.2212	32.632 	1024  	4.86148 	2.29935	196.704	22 	211.911	195.118	1024  	2.57937	2.29935
23 	1024  	34.9729	23 	41.4023	29.0659	1024  	4.42909 	2.00728	192.598	23 	206.621	188.917	1024  	3.82884	2.00728
24 	1024  	30.6099	24 	34.1776	27.6783	1024  	1.99338 	1.64811	178.357	24 	190.093	173.07 	1024  	4.42651	1.64811
25 	1024  	0.83876	25 	1.11741	0.558841	1024  	0.162853	1.38577	168.495	25 	179.255	162.796	1024  	4.78644	1.38577
26 	1024  	4.47532	26 	5.73745	3.70299 	1024  	0.669276	1.50957	182.978	26 	188.949	178.528	1024  	3.39035	1.50957
27 	1024  	5.5427 	27 	7.228  	4.39071 	1024  	0.835863	1.59975	177.531	27 	187.719	172.13 	1024  	3.89842	1.59975
28 	1024  	28.3451	28 	37.0693	24.7681 	1024  	3.20165 	2.08758	183.232	28 	195.434	178.693	1024  	3.19766	2.08758
29 	1024  	51.8542	29 	59.9463	48.315  	1024  	2.92455 	2.0108 	197.965	29 	210.799	194.607	1024  	3.12183	2.0108 
30 	1024  	33.4546	30 	39.3264	26.2668 	1024  	3.56982 	1.86515	188.335	30 	202.002	185.456	1024  	3.09189	1.86515
31 	1024  	13.4641	31 	16.5303	9.63913 	1024  	1.779   	1.67286	172.227	31 	185.05 	169.29 	1024  	3.60893	1.67286
32 	1024  	28.999 	32 	30.6534	27.1782 	1024  	0.711792	1.57822	172.876	32 	185.654	169.404	1024  	3.80432	1.57822
33 	1024  	6.27326	33 	8.02564	4.75568 	1024  	0.84478 	1.6432 	167.58 	33 	179.215	162.858	1024  	4.22285	1.6432 
34 	1024  	1.69772	34 	1.96481	1.17812 	1024  	0.133812	1.41888	176.528	34 	196.187	173.202	1024  	3.88084	1.41888
35 	1024  	25.4668	35 	29.5803	21.5413 	1024  	2.54856 	2.31244	196.376	35 	211.124	193.335	1024  	3.84859	2.31244
36 	1024  	83.1348	36 	109.216	70.5279 	1024  	8.14366 	2.56094	208.914	36 	225.939	207.23 	1024  	2.16639	2.56094
37 	1024  	129.464	37 	147.867	110.703 	1024  	6.10492 	2.8387 	206.752	37 	224.984	204.085	1024  	3.0076 	2.8387 
