
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                      	                         energy                         
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	avg   	gen	max   	min    	nevals	std    	time    	avg    	gen	max    	min    	nevals	std    	time    
0  	1024  	91.416	0  	92.751	79.7391	1024  	1.12227	0.944843	226.419	0  	268.559	206.586	1024  	13.1435	0.944843
1  	1024  	36.3717	1  	38.1094	27.5092	1024  	1.33286	1.95544 	192.383	1  	219.167	183.589	1024  	6.71256	1.95544 
2  	1024  	102.605	2  	109.337	82.7462	1024  	6.1511 	2.26426 	215.61 	2  	243.049	208.826	1024  	6.82343	2.26426 
3  	1024  	51.3256	3  	54.0629	43.0587	1024  	2.04146	2.22965 	199.131	3  	228.025	192.815	1024  	7.32658	2.22965 
4  	1024  	62.4337	4  	66.0104	53.0645	1024  	2.23671	2.19661 	214.452	4  	248.192	210.151	1024  	6.45157	2.19661 
5  	1024  	43.7847	5  	46.9087	35.7904	1024  	2.80072	1.82012 	193.547	5  	227.054	189.277	1024  	5.12488	1.82012 
6  	1024  	5.8447 	6  	6.55196	4.60922	1024  	0.595379	1.30065 	181.831	6  	200.59 	177.844	1024  	4.12262	1.30065 
7  	1024  	11.6263	7  	14.4016	8.40033	1024  	1.76547 	1.30182 	183.699	7  	196.429	179.824	1024  	4.27856	1.30182 
8  	1024  	11.4695	8  	12.8666	9.25462	1024  	0.927091	1.35177 	186.588	8  	198.936	182.794	1024  	3.81784	1.35177 
9  	1024  	35.1819	9  	41.0764	30.2824	1024  	2.87666 	1.64129 	192.053	9  	210.185	187.452	1024  	4.32039	1.64129 
10 	1024  	54.8269	10 	64.9668	44.8188	1024  	3.5858  	1.80622 	193.934	10 	207.097	191.524	1024  	2.78441	1.80622 
11 	1024  	43.4409	11 	46.86  	38.7685	1024  	2.35038 	1.85609 	198.137	11 	213.31 	195.53 	1024  	2.50039	1.85609 
12 	1024  	21.6379	12 	25.0102	18.3985	1024  	1.96652 	1.71682 	184.07 	12 	197.888	181.319	1024  	2.93824	1.71682 
13 	1024  	34.2233	13 	38.0219	29.275 	1024  	2.60242 	1.69584 	189.783	13 	204.122	187.07 	1024  	2.79672	1.69584 
14 	1024  	27.8305	14 	32.6203	23.8527	1024  	2.55827 	1.71078 	192.677	14 	206.31 	189.748	1024  	2.91241	1.71078 
15 	1024  	40.7939	15 	46.0028	36.5992	1024  	2.99723 	1.72107 	192.298	15 	205.531	190.457	1024  	2.34783	1.72107 
16 	1024  	68.2455	16 	73.5209	60.8191	1024  	3.157   	1.67606 	183.795	16 	205.921	181.395	1024  	3.13275	1.67606 
17 	1024  	21.9775	17 	24.7198	18.6895	1024  	1.6835  	1.47365 	193.117	17 	205.94 	191.002	1024  	2.2743 	1.47365 
18 	1024  	13.5319	18 	16.7511	8.88711	1024  	2.68639 	1.43713 	175.235	18 	189.273	172.82 	1024  	3.10578	1.43713 
19 	1024  	14.173 	19 	15.3432	12.2513	1024  	0.752321	1.27938 	177.614	19 	189.734	174.18 	1024  	3.55619	1.27938 
20 	1024  	8.77243	20 	11.9517	6.01974	1024  	1.64955 	1.25335 	179.243	20 	190.968	176.704	1024  	3.04723	1.25335 
21 	1024  	10.7828	21 	12.5768	8.60114	1024  	1.20066 	1.24296 	165.406	21 	178.153	162.062	1024  	3.93542	1.24296 
22 	1024  	39.3816	22 	47.2338	32.7442	1024  	4.70618 	1.86108 	197.479	22 	211.434	195.108	1024  	2.7793 	1.86108 
23 	1024  	34.1618	23 	41.8449	29.4284	1024  	4.13381 	1.71515 	192.781	23 	206.617	188.916	1024  	3.50331	1.71515 
24 	1024  	30.7335	24 	34.5195	28.3254	1024  	1.81022 	1.34661 	178.1  	24 	190.175	172.955	1024  	3.91166	1.34661 
25 	1024  	0.961798	25 	1.11741	0.558841	1024  	0.142563	1.13058 	166.264	25 	179.712	162.702	1024  	3.97888	1.13058 
26 	1024  	4.89472 	26 	5.73745	3.73723 	1024  	0.518038	1.22414 	181.814	26 	193.722	178.389	1024  	3.42228	1.22414 
27 	1024  	6.06863 	27 	7.228  	4.45826 	1024  	0.650022	1.2963  	175.845	27 	187.611	172.053	1024  	3.9549 	1.2963  
28 	1024  	30.4369 	28 	36.9741	24.7952 	1024  	3.78853 	1.71476 	181.838	28 	195.103	178.628	1024  	3.18512	1.71476 
29 	1024  	53.2602 	29 	59.2248	47.9108 	1024  	3.34511 	1.67773 	196.348	29 	210.809	194.599	1024  	2.49653	1.67773 
30 	1024  	32.8848 	30 	39.0761	24.3792 	1024  	3.38562 	1.50307 	187.405	30 	201.793	185.45 	1024  	2.8159 	1.50307 
31 	1024  	13.4862 	31 	16.6119	10.4031 	1024  	1.80859 	1.40206 	171.895	31 	185.245	169.199	1024  	3.52894	1.40206 
32 	1024  	29.0263 	32 	30.5702	27.1782 	1024  	0.749336	1.3308  	171.549	32 	186.793	169.393	1024  	2.97994	1.3308  
33 	1024  	6.58422 	33 	8.02564	4.75568 	1024  	0.812712	1.31737 	166.577	33 	179.697	162.889	1024  	3.61803	1.31737 
34 	1024  	1.72922 	34 	1.96481	1.1674  	1024  	0.132181	1.131   	177.239	34 	196.567	173.134	1024  	3.67012	1.131   
35 	1024  	25.3872 	35 	29.2525	21.6963 	1024  	2.45957 	1.92701 	195.972	35 	212.099	193.271	1024  	3.32132	1.92701 
36 	1024  	83.1738 	36 	109.265	70.7186 	1024  	11.0357 	2.16314 	209.321	36 	226.769	206.915	1024  	3.196  	2.16314 
37 	1024  	123.513 	37 	139.768	110.669 	1024  	11.1883 	2.28829 	207.231	37 	226.173	203.998	1024  	4.23504	2.28829 
38 	1024  	60.158  	38 	70.6283	52.0819 	1024  	5.83554 	2.2388  	201.166	38 	218.985	197.941	1024  	4.25357	2.2388  
39 	1024  	41.5356 	39 	49.5976	35.319  	1024  	4.39399 	1.94215 	192.016	39 	208.932	188.551	1024  	4.27427	1.94215 
40 	1024  	87.1037 	40 	97.4313	63.1243 	1024  	9.06873 	1.82423 	204.286	40 	220.702	201.242	1024  	4.91926	1.82423 
41 	1024  	22.0893 	41 	25.5209	19.5217 	1024  	1.71442 	1.31769 	185.253	41 	197.133	181.742	1024  	4.21811	1.31769 
42 	1024  	2.75625 	42 	3.99211	2.11008 	1024  	0.49343 	1.18362 	178.833	42 	191.339	173.542	1024  	4.9652 	1.18362 
43 	1024  	75.3121 	43 	84.327 	70.4038 	1024  	4.39671 	1.99911 	205.685	43 	221.524	201.334	1024  	4.94691	1.99911 
44 	1024  	46.3461 	44 	57.6821	41.3463 	1024  	4.57527 	2.11532 	213.721	44 	229.766	209.923	1024  	3.51551	2.11532 
45 	1024  	67.3537 	45 	76.4972	63.1195 	1024  	3.5236  	2.00701 	202.364	45 	219.964	199.455	1024  	3.63401	2.00701 
46 	1024  	60.1346 	46 	71.064 	50.0062 	1024  	5.50616 	1.82727 	196.142	46 	216.241	192.128	1024  	4.32928	1.82727 
47 	1024  	49.8319 	47 	59.17  	38.203  	1024  	5.55959 	1.93024 	197.3  	47 	215.834	192.496	1024  	4.21362	1.93024 
48 	1024  	36.2247 	48 	45.5815	31.7129 	1024  	4.5232  	1.94678 	203.468	48 	207.797	199.657	1024  	3.65494	1.94678 
49 	1024  	45.5474 	49 	51.4096	36.3991 	1024  	4.77607 	1.69216 	193.732	49 	202.864	191.797	1024  	2.6513 	1.69216 
50 	1024  	45.8842 	50 	49.8585	40.5671 	1024  	1.57539 	1.51346 	177.747	50 	192.272	174.747	1024  	3.34496	1.51346 
51 	1024  	9.69441 	51 	11.5774	7.86194 	1024  	1.16078 	1.25799 	182.82 	51 	197.45 	179.563	1024  	4.23487	1.25799 
52 	1024  	11.9201 	52 	16.0337	9.44449 	1024  	1.919   	1.33017 	175.634	52 	188.525	170.423	1024  	4.57858	1.33017 
