
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4551	0  	92.751	78.8967	1024  	1.10976	1.17021	225.933	0  	269.922	206.778	1024  	12.9725	1.17021
1  	1024  	36.4326	1  	38.1663	27.5092	1024  	1.3605 	2.35276	191.889	1  	212.188	183.589	1024  	6.0927 	2.35276
2  	1024  	102.16 	2  	109.337	85.1606	1024  	6.42177	2.69483	214.523	2  	246.78 	208.825	1024  	6.01606	2.69483
3  	1024  	51.6121	3  	54.1962	42.8821	1024  	1.7931 	2.61985	198.909	3  	232.49 	192.813	1024  	7.08775	2.61985
4  	1024  	62.6625	4  	65.8893	53.5706	1024  	2.06531	2.59791	214.689	4  	245.603	210.142	1024  	6.52073	2.59791
5  	1024  	44.2679	5  	47.1724	36.3987	1024  	2.7091 	2.26491	193.044	5  	223.168	189.426	1024  	4.71248	2.26491
6  	1024  	5.86861	6  	6.52631	4.61134	1024  	0.611415	1.56176	182.118	6  	206.467	177.691	1024  	4.82219	1.56176
7  	1024  	11.4434	7  	14.2618	8.01629	1024  	1.84225 	1.56143	184.316	7  	196.622	179.828	1024  	4.92295	1.56143
8  	1024  	11.5291	8  	13.0186	9.18955	1024  	1.08384 	1.6859 	186.826	8  	199.707	182.747	1024  	4.51506	1.6859 
9  	1024  	34.9367	9  	41.2215	29.83  	1024  	3.44542 	2.02322	192.974	9  	210.219	187.58 	1024  	5.14402	2.02322
10 	1024  	55.6271	10 	64.6557	47.238 	1024  	3.57384 	2.3062 	193.84 	10 	207.476	191.543	1024  	2.97455	2.3062 
11 	1024  	44.6521	11 	46.9353	38.579 	1024  	1.8504  	2.3127 	197.649	11 	213.973	195.531	1024  	2.7842 	2.3127 
12 	1024  	21.7922	12 	24.5611	18.2216	1024  	2.08004 	2.12964	184.753	12 	197.933	181.362	1024  	3.62347	2.12964
13 	1024  	34.6596	13 	38.8852	29.685 	1024  	2.68655 	2.08719	190.215	13 	204.131	187.07 	1024  	3.29795	2.08719
14 	1024  	28.227 	14 	32.4489	22.7532	1024  	3.19056 	2.04654	192.771	14 	208.504	189.748	1024  	3.43743	2.04654
15 	1024  	42.6125	15 	46.3686	35.5998	1024  	3.27935 	2.08216	192.162	15 	205.744	190.394	1024  	2.77212	2.08216
16 	1024  	71.0659	16 	73.526 	60.4121	1024  	3.54379 	2.07457	182.748	16 	195.624	181.395	1024  	2.73453	2.07457
17 	1024  	23.0397	17 	24.5393	18.9134	1024  	1.83553 	1.75864	192.532	17 	206.099	191.005	1024  	2.84415	1.75864
18 	1024  	14.6697	18 	16.7511	8.85147	1024  	2.83881 	1.71349	174.856	18 	189.177	172.82 	1024  	3.49677	1.71349
19 	1024  	14.4569	19 	15.3432	12.1   	1024  	0.934542	1.53266	176.379	19 	183.627	174.161	1024  	3.64624	1.53266
20 	1024  	9.33359	20 	11.9517	6.80096	1024  	1.71924 	1.55871	179.094	20 	191.061	176.474	1024  	3.27572	1.55871
