
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min   	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4532	0  	92.751	79.342	1024  	1.06959	1.05153	227.044	0  	268.559	206.586	1024  	13.3574	1.05153
1  	1024  	36.4083	1  	38.1807	27.3385	1024  	1.18044	2.02751	192.695	1  	217.071	183.589	1024  	6.59627	2.02751
2  	1024  	102.153	2  	109.377	85.1276	1024  	6.10004	2.46131	215.443	2  	245.692	208.826	1024  	6.55972	2.46131
3  	1024  	51.5736	3  	54.2354	43.1519	1024  	1.83582	2.46603	198.37 	3  	233.196	192.798	1024  	6.03979	2.46603
4  	1024  	62.7292	4  	66.146 	53.6162	1024  	2.18184	2.32034	213.731	4  	242.785	210.151	1024  	4.97147	2.32034
5  	1024  	44.4109	5  	47.5608	35.8302	1024  	2.83764	2.12241	191.911	5  	208.129	189.426	1024  	2.91766	2.12241
6  	1024  	5.82134	6  	6.55196	4.66958	1024  	0.544847	1.41549	180.783	6  	199.96 	177.658	1024  	3.81084	1.41549
7  	1024  	11.3289	7  	14.4016	8.66408	1024  	1.64528 	1.50464	183.337	7  	196.429	179.828	1024  	3.95151	1.50464
8  	1024  	11.6493	8  	13.2849	9.45655	1024  	0.93082 	1.57988	186.124	8  	200.432	182.763	1024  	3.80956	1.57988
9  	1024  	35.9248	9  	41.1158	31.0457	1024  	2.7831  	1.82415	189.934	9  	205.553	187.462	1024  	3.01251	1.82415
10 	1024  	55.4172	10 	64.8297	43.8903	1024  	3.89969 	2.04545	192.851	10 	200.387	191.542	1024  	1.86318	2.04545
11 	1024  	43.504 	11 	47.0338	38.9635	1024  	2.16191 	2.14187	197.014	11 	213.9  	195.53 	1024  	2.45956	2.14187
12 	1024  	21.438 	12 	24.4826	18.4584	1024  	1.84313 	1.84516	183.231	12 	198.196	181.281	1024  	3.13035	1.84516
13 	1024  	34.2569	13 	38.8945	29.945 	1024  	2.56265 	1.90797	189.652	13 	204.442	187.063	1024  	3.53611	1.90797
14 	1024  	27.9145	14 	32.5602	22.8961	1024  	2.89361 	1.95463	192.142	14 	206.603	189.748	1024  	3.42597	1.95463
15 	1024  	40.9968	15 	46.2497	35.7513	1024  	3.15372 	1.95366	192.149	15 	206.065	190.359	1024  	2.60615	1.95366
16 	1024  	68.0244	16 	73.6335	55.4992	1024  	4.33817 	1.96738	183.029	16 	194.447	181.395	1024  	2.70429	1.96738
17 	1024  	22.2109	17 	24.9934	18.9534	1024  	1.79137 	1.67857	192.814	17 	206.051	190.951	1024  	2.63856	1.67857
18 	1024  	14.0626	18 	16.7511	9.21958	1024  	2.45178 	1.67571	174.786	18 	189.175	172.816	1024  	3.30978	1.67571
19 	1024  	13.924 	19 	15.3432	12.1412	1024  	1.11597 	1.47353	177.297	19 	190.287	174.18 	1024  	4.28368	1.47353
20 	1024  	7.96425	20 	12.0124	6.5256 	1024  	1.03768 	1.43233	179.731	20 	191.114	176.459	1024  	3.91515	1.43233
