
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                      	                         energy                         
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time    	avg    	gen	max    	min    	nevals	std    	time    
0  	1024  	91.4669	0  	92.751	81.3519	1024  	1.12808	0.974129	226.576	0  	268.559	206.778	1024  	13.5938	0.974129
1  	1024  	36.443 	1  	38.2018	27.9842	1024  	1.31387	2.05858 	191.837	1  	218.462	183.744	1024  	6.07513	2.05858 
2  	1024  	103.4  	2  	109.57 	81.5929	1024  	5.88305	2.41287 	214.516	2  	252.033	208.916	1024  	6.18775	2.41287 
3  	1024  	51.3573	3  	53.9888	43.2533	1024  	2.03782	2.324   	198.791	3  	235.809	192.815	1024  	7.79576	2.324   
4  	1024  	62.3758	4  	65.8273	52.8853	1024  	2.21344	2.25028 	214.778	4  	249.617	210.142	1024  	7.06755	2.25028 
5  	1024  	43.9782	5  	47.3434	36.5335	1024  	2.98118	1.94572 	192.599	5  	207.824	189.426	1024  	3.65855	1.94572 
6  	1024  	5.73923	6  	6.55196	4.22075	1024  	0.606338	1.38054 	182.096	6  	193.443	177.687	1024  	4.18138	1.38054 
7  	1024  	11.4033	7  	14.4422	8.40256	1024  	1.87907 	1.3377  	184.059	7  	196.429	179.851	1024  	4.37687	1.3377  
8  	1024  	11.7795	8  	13.1525	8.20581	1024  	1.23664 	1.4707  	184.431	8  	197.747	182.896	1024  	2.16394	1.4707  
9  	1024  	36.2775	9  	41.2455	29.0562	1024  	2.47596 	1.69756 	190.262	9  	206.855	187.464	1024  	3.35292	1.69756 
10 	1024  	56.9483	10 	64.6672	43.2243	1024  	3.43042 	1.93084 	193.15 	10 	221.322	191.533	1024  	3.00629	1.93084 
11 	1024  	44.3123	11 	46.9546	37.5963	1024  	2.4901  	2.00815 	197.128	11 	214.699	195.53 	1024  	2.54815	2.00815 
12 	1024  	21.9444	12 	24.7201	17.9158	1024  	2.06157 	1.78636 	183.481	12 	198.941	181.361	1024  	3.09918	1.78636 
13 	1024  	34.3434	13 	38.6858	27.5856	1024  	3.08641 	1.80189 	189.486	13 	207.473	187.07 	1024  	3.1051 	1.80189 
14 	1024  	27.6319	14 	32.5953	22.6733	1024  	2.95744 	1.78499 	192.837	14 	209.561	189.75 	1024  	3.69704	1.78499 
15 	1024  	39.7141	15 	46.591 	32.5891	1024  	4.2791  	1.78653 	192.168	15 	207.385	190.46 	1024  	2.15041	1.78653 
16 	1024  	66.034 	16 	73.6386	54.9625	1024  	6.49881 	1.75104 	182.973	16 	199.202	181.395	1024  	2.1078 	1.75104 
17 	1024  	21.9446	17 	24.7198	18.4887	1024  	2.10551 	1.53626 	193.066	17 	208.76 	191.005	1024  	2.76626	1.53626 
18 	1024  	14.4945	18 	16.7511	8.85147	1024  	2.48704 	1.50263 	174.813	18 	182.902	172.82 	1024  	3.20954	1.50263 
19 	1024  	14.5935	19 	15.3432	12.3793	1024  	0.75088 	1.35259 	176.555	19 	184.535	174.18 	1024  	3.29313	1.35259 
20 	1024  	9.40251	20 	11.8897	6.80096	1024  	1.68211 	1.31465 	178.459	20 	193.045	176.698	1024  	2.48407	1.31465 
21 	1024  	10.9981	21 	12.5768	8.64461	1024  	1.01794 	1.25811 	163.65 	21 	179.692	161.964	1024  	2.47943	1.25811 
22 	1024  	41.6719	22 	47.2338	33.6301	1024  	3.65503 	1.92777 	196.159	22 	212.34 	195.072	1024  	2.09344	1.92777 
23 	1024  	35.977 	23 	41.8998	29.3981	1024  	3.74381 	1.88147 	191.156	23 	206.635	188.914	1024  	3.31808	1.88147 
24 	1024  	31.4248	24 	34.2557	28.1799	1024  	1.78754 	1.63022 	175.931	24 	183.359	172.956	1024  	3.52793	1.63022 
25 	1024  	0.743409	25 	1.11741	0.558841	1024  	0.18809 	1.31029 	165.858	25 	180.074	162.79 	1024  	3.56561	1.31029 
