
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg   	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.442	0  	92.751	84.3951	1024  	1.05139	1.26833	227.239	0  	268.559	206.586	1024  	13.9483	1.26833
1  	1024  	36.4653	1  	38.2316	29.4926	1024  	1.17709	2.50826	192    	1  	224.594	183.589	1024  	6.49245	2.50826
2  	1024  	102.892	2  	109.337	84.4289	1024  	5.74803	2.87092	215.243	2  	244.634	208.826	1024  	7.04171	2.87092
3  	1024  	51.5137	3  	54.2217	45.1247	1024  	1.60656	2.83552	199.097	3  	231.505	192.797	1024  	7.85259	2.83552
4  	1024  	62.8829	4  	65.913 	54.7377	1024  	1.63054	2.71589	213.807	4  	245.474	210.151	1024  	6.14689	2.71589
5  	1024  	44.533 	5  	47.4026	36.4315	1024  	2.31113	2.38089	192.591	5  	210.554	189.426	1024  	4.3825 	2.38089
6  	1024  	5.98503	6  	6.50906	4.22075	1024  	0.51819	1.67117	180.88 	6  	204.653	177.765	1024  	4.09175	1.67117
7  	1024  	11.8606	7  	14.4016	8.18033	1024  	1.72066	1.63318	183.269	7  	196.429	179.828	1024  	4.29744	1.63318
8  	1024  	11.8234	8  	13.0186	7.89837	1024  	0.982018	1.77045	185.174	8  	206.345	182.966	1024  	3.27532	1.77045
9  	1024  	36.4413	9  	41.0013	29.0562	1024  	2.82839 	2.07488	190.622	9  	214.504	187.451	1024  	3.68376	2.07488
10 	1024  	55.5082	10 	65.033 	43.2243	1024  	3.71779 	2.32197	193.21 	10 	219.91 	191.531	1024  	2.78539	2.32197
11 	1024  	44.6548	11 	46.777 	38.3762	1024  	2.09512 	2.36376	197.197	11 	225.025	195.532	1024  	2.97606	2.36376
12 	1024  	22.1174	12 	24.797 	17.9349	1024  	1.92227 	2.1723 	183.393	12 	197.748	181.325	1024  	2.90581	2.1723 
13 	1024  	34.8317	13 	37.9017	30.2311	1024  	2.50927 	2.20909	189.133	13 	194.885	187.068	1024  	2.77982	2.20909
14 	1024  	28.6477	14 	32.2352	23.195 	1024  	2.75074 	2.20244	191.497	14 	206.375	189.748	1024  	2.73384	2.20244
15 	1024  	42.4593	15 	46.2253	32.7527	1024  	3.08663 	2.17565	191.809	15 	205.744	190.375	1024  	2.41467	2.17565
16 	1024  	69.6725	16 	73.5209	55.0359	1024  	4.45263 	2.10458	182.251	16 	198.663	181.395	1024  	1.99064	2.10458
17 	1024  	23.1952	17 	24.5393	18.7076	1024  	1.54641 	1.86536	192.239	17 	206.098	191.002	1024  	2.37506	1.86536
18 	1024  	14.1296	18 	16.7511	8.68024	1024  	2.8314  	1.83472	175.239	18 	190.111	172.766	1024  	3.55184	1.83472
19 	1024  	14.1428	19 	15.3432	12.0998	1024  	0.854525	1.68226	177.598	19 	191.34 	174.142	1024  	3.94399	1.68226
20 	1024  	8.85926	20 	11.9083	6.45136	1024  	1.68316 	1.61468	179.93 	20 	191.114	176.597	1024  	3.59988	1.61468
21 	1024  	10.7962	21 	12.5671	8.754  	1024  	1.14266 	1.64775	166.418	21 	178.247	162.077	1024  	4.29824	1.64775
22 	1024  	41.987 	22 	47.1102	33.6301	1024  	3.66317 	2.43732	196.386	22 	212.523	195.144	1024  	1.96064	2.43732
23 	1024  	36.1892	23 	41.2149	28.5089	1024  	3.73736 	2.1763 	191.237	23 	207.262	188.963	1024  	3.12319	2.1763 
24 	1024  	31.6461	24 	34.2557	28.0215	1024  	1.94646 	1.71569	176.599	24 	190.432	172.955	1024  	4.06394	1.71569
25 	1024  	0.849596	25 	1.11741	0.558841	1024  	0.138329	1.45232	166.448	25 	180.084	162.781	1024  	5.01044	1.45232
26 	1024  	4.90534 	26 	5.73745	3.83527 	1024  	0.579199	1.56395	181.209	26 	194.553	178.467	1024  	3.65944	1.56395
27 	1024  	5.7971  	27 	7.228  	4.39863 	1024  	0.865204	1.69936	176.695	27 	189.791	172.129	1024  	4.68557	1.69936
28 	1024  	31.4242 	28 	36.97  	24.8295 	1024  	3.61053 	2.23585	181.856	28 	197.283	178.83 	1024  	3.54899	2.23585
29 	1024  	52.8161 	29 	58.9067	47.9108 	1024  	3.01477 	2.13026	198.092	29 	212.192	194.635	1024  	3.78547	2.13026
30 	1024  	33.2526 	30 	38.5916	25.9171 	1024  	3.36147 	1.98227	187.116	30 	203.471	185.487	1024  	2.34467	1.98227
31 	1024  	13.2772 	31 	16.5303	9.78709 	1024  	1.81082 	1.75588	171.654	31 	186.467	169.264	1024  	3.41243	1.75588
32 	1024  	28.9314 	32 	30.5702	26.5628 	1024  	0.953552	1.68781	172.415	32 	192.599	169.576	1024  	3.56537	1.68781
33 	1024  	6.53587 	33 	8.02564	4.75568 	1024  	0.747865	1.7111 	166.291	33 	184.581	162.845	1024  	3.54191	1.7111 
34 	1024  	1.59267 	34 	1.96481	1.01342 	1024  	0.185069	1.47747	176.184	34 	195.767	173.13 	1024  	3.41238	1.47747
35 	1024  	25.6021 	35 	29.4767	21.2935 	1024  	1.77538 	2.42911	195.764	35 	212.307	193.328	1024  	3.12198	2.42911
36 	1024  	80.3311 	36 	107.454	70.3088 	1024  	5.54872 	2.77535	209.156	36 	226.469	207.076	1024  	2.73917	2.77535
37 	1024  	119.817 	37 	138.916	110.147 	1024  	7.67753 	2.99148	207.119	37 	225.318	203.992	1024  	3.3057 	2.99148
38 	1024  	60.289  	38 	69.7379	51.2369 	1024  	5.60162 	2.90819	200.938	38 	218.549	197.966	1024  	3.68995	2.90819
39 	1024  	40.7568 	39 	49.6414	35.3381 	1024  	4.71855 	2.48479	192.473	39 	207.941	188.716	1024  	3.56502	2.48479
40 	1024  	83.6708 	40 	97.822 	62.986  	1024  	8.62065 	2.45397	204.458	40 	220.242	201.278	1024  	3.5546 	2.45397
41 	1024  	21.9401 	41 	25.483 	19.54   	1024  	1.71724 	1.84699	185.054	41 	197.33 	181.698	1024  	3.12784	1.84699
42 	1024  	2.86349 	42 	3.87414	1.85212 	1024  	0.455886	1.675  	178.324	42 	190.494	173.493	1024  	4.14565	1.675  
43 	1024  	75.9885 	43 	84.9675	70.9765 	1024  	4.42372 	2.83098	204.72 	43 	220.692	201.375	1024  	3.07617	2.83098
44 	1024  	47.7096 	44 	57.8977	41.3974 	1024  	5.3466  	2.93076	213.276	44 	229.851	209.917	1024  	3.36033	2.93076
45 	1024  	67.4011 	45 	75.8416	62.067  	1024  	4.23576 	2.75103	202.364	45 	220.35 	199.458	1024  	3.6162 	2.75103
46 	1024  	61.4628 	46 	71.1713	48.5896 	1024  	5.2363  	2.57622	194.626	46 	213.029	192.205	1024  	2.86846	2.57622
47 	1024  	49.9128 	47 	58.8601	43.3053 	1024  	4.96014 	2.59644	195.445	47 	201.591	192.702	1024  	2.55869	2.59644
48 	1024  	37.2536 	48 	45.6514	31.4571 	1024  	4.50165 	2.65483	201.928	48 	208.508	199.649	1024  	2.69162	2.65483
