
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                    communication                     	                        energy                        
   	      	------------------------------------------------------	------------------------------------------------------
gen	nevals	avg    	gen	max   	min   	nevals	std    	time  	avg    	gen	max    	min    	nevals	std    	time  
0  	1024  	91.4343	0  	92.751	79.743	1024  	1.20607	1.2329	227.447	0  	268.559	206.586	1024  	14.2753	1.2329
1  	1024  	36.2688	1  	38.2925	27.1536	1024  	1.50609	2.53602	192.413	1  	215.918	183.589	1024  	6.91428	2.53602
2  	1024  	102.892	2  	109.337	84.6643	1024  	5.78086	2.95487	215.408	2  	245.338	208.826	1024  	7.16479	2.95487
3  	1024  	51.3138	3  	53.9483	43.2533	1024  	2.03627	2.82881	199.4  	3  	231.191	192.814	1024  	7.78597	2.82881
4  	1024  	62.4179	4  	65.6999	54.3464	1024  	2.26092	2.77776	214.25 	4  	245.326	210.151	1024  	5.9366 	2.77776
5  	1024  	44.0745	5  	47.9259	36.7186	1024  	2.92547	2.42854	192.726	5  	213.498	189.426	1024  	4.17011	2.42854
6  	1024  	5.76385	6  	6.55196	4.74666	1024  	0.593884	1.66018	181.966	6  	193.443	177.658	1024  	4.15923	1.66018
7  	1024  	11.8824	7  	14.4016	8.67262	1024  	1.58399 	1.65472	182.719	7  	196.429	179.84 	1024  	3.60718	1.65472
8  	1024  	11.7817	8  	13.2849	8.48698	1024  	1.19075 	1.77515	184.264	8  	192.356	182.652	1024  	1.69378	1.77515
9  	1024  	37.542 	9  	41.0764	31.7192	1024  	2.08769 	2.14929	189.288	9  	217.824	187.633	1024  	2.67881	2.14929
10 	1024  	56.29  	10 	64.6303	42.6267	1024  	3.43562 	2.31619	192.878	10 	207.375	191.545	1024  	2.33794	2.31619
11 	1024  	44.9111	11 	46.8326	39.694 	1024  	1.83182 	2.40509	196.878	11 	213.323	195.494	1024  	1.95881	2.40509
12 	1024  	22.2933	12 	24.6002	18.8445	1024  	1.76279 	2.19063	183.499	12 	197.719	181.211	1024  	2.88731	2.19063
13 	1024  	34.9713	13 	38.1032	30.1207	1024  	2.62923 	2.20762	189.465	13 	204.122	187.047	1024  	2.95919	2.20762
14 	1024  	27.6738	14 	32.0752	23.817 	1024  	2.64161 	2.18452	192.631	14 	206.243	189.743	1024  	3.08693	2.18452
15 	1024  	41.2004	15 	46.216 	34.7289	1024  	3.01625 	2.22331	192.32 	15 	205.745	190.133	1024  	2.2262 	2.22331
16 	1024  	68.9524	16 	73.6335	55.3088	1024  	3.6949  	2.16221	183.511	16 	198.073	181.395	1024  	2.91121	2.16221
17 	1024  	22.2625	17 	24.8247	18.4427	1024  	1.79061 	1.90398	193.394	17 	206.566	190.96 	1024  	2.80782	1.90398
18 	1024  	14.4017	18 	16.7511	8.98074	1024  	2.61677 	1.8777 	174.796	18 	189.177	172.812	1024  	3.02602	1.8777 
19 	1024  	14.4694	19 	15.3432	12.7906	1024  	0.768573	1.6408 	177.029	19 	191.979	174.18 	1024  	3.76089	1.6408 
20 	1024  	9.70425	20 	11.8897	5.86085	1024  	1.86862 	1.60344	177.713	20 	196.96 	176.549	1024  	1.89326	1.60344
21 	1024  	11.4833	21 	12.5768	8.9076 	1024  	0.729172	1.57552	163.509	21 	177.577	161.931	1024  	2.70529	1.57552
22 	1024  	42.4093	22 	47.2212	34.189 	1024  	3.2201  	2.40823	195.928	22 	210.216	195.109	1024  	1.40948	2.40823
23 	1024  	37.4687	23 	41.977 	30.0984	1024  	3.48315 	2.15506	190.328	23 	206.606	188.916	1024  	2.41504	2.15506
24 	1024  	32.2072	24 	34.2557	28.9518	1024  	1.57696 	1.69654	175.766	24 	190.058	172.955	1024  	3.45044	1.69654
25 	1024  	0.944752	25 	1.11741	0.558841	1024  	0.148005	1.42084	163.776	25 	189.953	162.79 	1024  	2.10172	1.42084
26 	1024  	5.35999 	26 	5.73745	3.87037 	1024  	0.484467	1.49757	179.865	26 	201.485	178.53 	1024  	2.55182	1.49757
27 	1024  	6.53397 	27 	7.228  	4.58767 	1024  	0.605415	1.66614	174.411	27 	197.154	172.1  	1024  	3.89044	1.66614
