
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time   	avg   	gen	max    	min    	nevals	std    	time   
0  	1024  	91.3953	0  	92.751	85.9881	1024  	1.09966	1.33141	227.27	0  	268.559	206.778	1024  	13.4998	1.33141
1  	1024  	36.3701	1  	38.0604	26.9407	1024  	1.22623	2.58768	192.51	1  	217.785	183.589	1024  	6.44596	2.58768
2  	1024  	102.503	2  	109.393	83.1261	1024  	6.17165	2.94557	214.924	2  	241.636	208.826	1024  	6.36099	2.94557
3  	1024  	51.5594	3  	54.295 	43.2533	1024  	1.61922	2.88904	198.994	3  	232.749	192.798	1024  	7.00041	2.88904
4  	1024  	62.7493	4  	66.0632	52.7994	1024  	1.88813	2.77741	213.423	4  	238.299	210.127	1024  	4.27266	2.77741
5  	1024  	44.5421	5  	47.6861	36.655 	1024  	2.57702	2.63365	192.485	5  	223.643	189.364	1024  	4.26333	2.63365
6  	1024  	5.89956	6  	6.55196	4.47661	1024  	0.593074	1.7218 	181.188	6  	205.862	177.665	1024  	4.51434	1.7218 
7  	1024  	11.8313	7  	14.5742	8.34781	1024  	1.70509 	1.68408	183.341	7  	198.651	179.824	1024  	4.30001	1.68408
8  	1024  	11.804 	8  	13.2849	8.06077	1024  	1.02164 	1.81334	185.269	8  	200.51 	182.823	1024  	3.21585	1.81334
9  	1024  	36.2337	9  	41.0764	29.4741	1024  	2.59696 	2.2    	190.233	9  	207.643	187.459	1024  	3.59716	2.2    
10 	1024  	55.3236	10 	64.7648	43.1809	1024  	4.14852 	2.43064	193.163	10 	207.905	191.513	1024  	2.46508	2.43064
11 	1024  	43.7239	11 	46.8812	37.5475	1024  	2.26465 	2.54067	197.203	11 	217.143	195.528	1024  	2.5555 	2.54067
12 	1024  	21.7352	12 	24.596 	17.539 	1024  	2.00151 	2.30109	183.296	12 	200.523	181.343	1024  	2.74178	2.30109
13 	1024  	34.5757	13 	38.1853	28.7026	1024  	2.36995 	2.41546	188.848	13 	208.383	187.07 	1024  	2.78046	2.41546
14 	1024  	27.9292	14 	32.2624	22.89  	1024  	2.873   	2.23745	192.384	14 	210.093	189.75 	1024  	3.53923	2.23745
15 	1024  	40.9866	15 	46.2948	32.9308	1024  	3.64616 	2.22074	192.839	15 	210.261	190.368	1024  	3.357  	2.22074
16 	1024  	68.172 	16 	73.6335	56.3544	1024  	4.6516  	2.23098	183.184	16 	200.472	181.395	1024  	3.22298	2.23098
17 	1024  	22.5132	17 	24.7553	18.4653	1024  	1.81247 	1.94171	193.216	17 	210.598	191.005	1024  	3.55987	1.94171
18 	1024  	13.7373	18 	16.7511	8.98074	1024  	2.79129 	1.99242	175.664	18 	190.859	172.795	1024  	3.65317	1.99242
19 	1024  	14.1115	19 	15.6657	12.1176	1024  	0.882702	1.76925	176.952	19 	190.586	174.18 	1024  	3.78908	1.76925
20 	1024  	9.35815	20 	11.9517	5.09675	1024  	1.7773  	1.67941	179.36 	20 	190.611	176.608	1024  	3.25592	1.67941
21 	1024  	10.7128	21 	12.5768	8.46899	1024  	1.04187 	1.69448	164.605	21 	177.855	162.036	1024  	3.6504 	1.69448
22 	1024  	40.3238	22 	47.296 	33.1767	1024  	3.37428 	2.50718	196.491	22 	213.229	195.063	1024  	2.08197	2.50718
23 	1024  	35.1495	23 	41.894 	29.3955	1024  	3.49603 	2.2126 	191.534	23 	207.894	188.914	1024  	3.29663	2.2126 
