
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                    communication                     	                        energy                        
   	      	------------------------------------------------------	------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time  	avg    	gen	max    	min    	nevals	std    	time  
0  	1024  	91.4309	0  	92.751	79.9018	1024  	1.12678	1.1279	226.792	0  	268.559	206.515	1024  	14.1026	1.1279
1  	1024  	36.3862	1  	38.076	26.7844	1024  	1.26144	2.2745	192.134	1  	221.95 	183.398	1024  	6.85431	2.2745
2  	1024  	102.539	2  	109.337	84.7387	1024  	6.14156	2.63022	215.306	2  	252.396	208.922	1024  	7.45641	2.63022
3  	1024  	51.5862	3  	54.2031	40.1084	1024  	1.95201	2.46172	199.37 	3  	237.479	192.796	1024  	8.19621	2.46172
4  	1024  	62.5402	4  	66.1419	52.3961	1024  	2.12556	2.54569	215.471	4  	251.811	210.088	1024  	7.71701	2.54569
5  	1024  	44.1513	5  	47.3081	35.9646	1024  	2.86293	2.24429	193.377	5  	216.39 	189.426	1024  	5.12484	2.24429
6  	1024  	5.86685	6  	6.55196	4.2512 	1024  	0.62416	1.49463	181.592	6  	193.191	177.694	1024  	4.31645	1.49463
7  	1024  	11.1895	7  	14.1734	8.16149	1024  	1.71979	1.47887	184.611	7  	196.531	179.823	1024  	4.69081	1.47887
8  	1024  	11.1805	8  	13.2165	8.52081	1024  	1.10068	1.65428	187.149	8  	209.456	182.686	1024  	4.21428	1.65428
9  	1024  	35.2392	9  	41.1485	29.289 	1024  	2.93616	1.97003	192.113	9  	207.722	187.451	1024  	4.29094	1.97003
10 	1024  	55.3476	10 	64.7399	43.5635	1024  	4.06847	2.16844	193.984	10 	218.2  	191.515	1024  	3.15305	2.16844
11 	1024  	43.771 	11 	46.7956	38.8706	1024  	2.40589	2.1656 	198.17 	11 	219.98 	195.529	1024  	3.46995	2.1656 
12 	1024  	21.5696	12 	24.5652	18.3534	1024  	2.15141	1.97574	184.167	12 	198.109	181.125	1024  	3.14376	1.97574
13 	1024  	34.4038	13 	38.0689	29.3823	1024  	2.65276	2.02866	189.877	13 	204.206	187.042	1024  	2.96636	2.02866
14 	1024  	28.0002	14 	32.4489	23.1985	1024  	2.72938	2.09502	192.467	14 	206.262	189.748	1024  	2.95678	2.09502
15 	1024  	41.4376	15 	46.3086	33.978 	1024  	3.15862	2.09523	191.92 	15 	205.819	190.063	1024  	1.91944	2.09523
16 	1024  	68.1261	16 	73.6386	55.2386	1024  	3.89974	2.06187	183.012	16 	198.253	181.395	1024  	2.16538	2.06187
17 	1024  	22.4039	17 	25.0643	18.926 	1024  	1.82464	1.74051	192.7  	17 	206.213	190.969	1024  	2.44922	1.74051
18 	1024  	13.9974	18 	16.7511	8.93424	1024  	2.80103	1.72039	174.919	18 	189.198	172.811	1024  	3.37839	1.72039
19 	1024  	14.0087	19 	15.3432	12.1   	1024  	1.00724	1.49451	177.334	19 	190.309	174.153	1024  	3.96349	1.49451
20 	1024  	8.94672	20 	11.8225	6.64895	1024  	1.71843	1.49229	179.813	20 	191.114	176.443	1024  	3.90176	1.49229
21 	1024  	11.0441	21 	12.5768	8.6097 	1024  	1.11274	1.49105	164.735	21 	178.021	161.873	1024  	3.77202	1.49105
22 	1024  	41.3183	22 	47.4296	32.4479	1024  	4.57669	2.20367	196.626	22 	211.236	195.099	1024  	2.48802	2.20367
23 	1024  	36.1176	23 	41.509 	29.1473	1024  	4.32205	1.95823	191.246	23 	206.586	188.914	1024  	3.36206	1.95823
24 	1024  	31.6133	24 	34.1776	27.6783	1024  	1.96702	1.55058	176.599	24 	190.209	172.937	1024  	4.16718	1.55058
25 	1024  	0.920807	25 	1.11741	0.558841	1024  	0.145921	1.30164	164.863	25 	179.716	162.643	1024  	3.39044	1.30164
26 	1024  	5.09857 	26 	5.73745	3.70696 	1024  	0.572638	1.38501	180.359	26 	193.51 	178.53 	1024  	3.10424	1.38501
27 	1024  	6.25056 	27 	7.228  	4.32939 	1024  	0.839042	1.51872	175.279	27 	189.815	172.06 	1024  	4.55146	1.51872
28 	1024  	31.6997 	28 	37.0376	24.7651 	1024  	4.04525 	2.21097	181.473	28 	197.488	178.861	1024  	3.50452	2.21097
29 	1024  	53.8815 	29 	59.2549	47.1483 	1024  	3.70343 	2.25756	196.467	29 	212.437	194.593	1024  	3.14166	2.25756
30 	1024  	33.1475 	30 	39.4367	26.3163 	1024  	3.54894 	2.06508	188.512	30 	204.671	185.45 	1024  	3.76458	2.06508
31 	1024  	12.6789 	31 	16.5644	9.37283 	1024  	1.96326 	1.89232	173.475	31 	187.598	169.292	1024  	4.42484	1.89232
32 	1024  	28.547  	32 	30.5702	26.3784 	1024  	1.09991 	1.83629	173.781	32 	187.034	169.59 	1024  	4.35371	1.83629
33 	1024  	6.345   	33 	7.93448	4.66478 	1024  	0.961591	1.86014	168.328	33 	179.868	162.898	1024  	4.32541	1.86014
34 	1024  	1.71451 	34 	1.96481	0.779572	1024  	0.151611	1.61283	179.797	34 	190.245	173.126	1024  	4.58404	1.61283
35 	1024  	24.3126 	35 	29.5047	21.3117 	1024  	2.56404 	2.6881 	198.734	35 	212.714	193.138	1024  	4.36643	2.6881 
36 	1024  	83.7863 	36 	109.661	70.0138 	1024  	13.8623 	3.04491	210.254	36 	227.252	207.089	1024  	3.26295	3.04491
37 	1024  	122.13  	37 	138.848	110.539 	1024  	11.1126 	3.30036	207.877	37 	225.966	204.077	1024  	3.61525	3.30036
38 	1024  	59.478  	38 	70.6556	51.3804 	1024  	6.45762 	3.1116 	201.204	38 	219.137	198.025	1024  	3.12193	3.1116 
39 	1024  	42.1749 	39 	49.6876	35.3381 	1024  	4.83273 	2.70446	191.266	39 	208.591	188.991	1024  	2.71935	2.70446
40 	1024  	78.5593 	40 	97.6611	62.0729 	1024  	13.4322 	2.54201	203.531	40 	222.539	201.506	1024  	2.69615	2.54201
41 	1024  	22.1614 	41 	25.8262	19.54   	1024  	1.84355 	1.84358	184.388	41 	197.844	181.748	1024  	2.84118	1.84358
42 	1024  	2.88811 	42 	3.99211	2.07164 	1024  	0.442803	1.68465	176.087	42 	189.073	172.508	1024  	2.75409	1.68465
43 	1024  	76.2887 	43 	84.702 	69.7513 	1024  	5.07522 	2.90579	203    	43 	218.859	201.348	1024  	1.87647	2.90579
44 	1024  	48.6901 	44 	57.6313	42.1458 	1024  	5.29044 	2.79911	211.399	44 	223.406	209.923	1024  	1.76113	2.79911
45 	1024  	68.3667 	45 	76.6255	63.2834 	1024  	4.3942  	2.69221	201.065	45 	215.168	199.453	1024  	1.99993	2.69221
46 	1024  	62.3267 	46 	71.0625	52.3809 	1024  	4.90352 	2.53348	193.809	46 	212.476	191.979	1024  	2.50891	2.53348
