
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                         communication                         	                         energy                        
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std     	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	91.4716	0  	92.751	86.2319	1024  	0.975693	1.20778	226.776	0  	272.333	206.778	1024  	13.1481	1.20778
1  	1024  	36.4716	1  	38.3129	27.9402	1024  	1.20342 	2.41814	191.848	1  	222.775	183.353	1024  	6.23047	2.41814
2  	1024  	102.532	2  	109.686	83.1416	1024  	6.27518 	2.809  	214.759	2  	245.903	208.823	1024  	6.54103	2.809  
3  	1024  	51.537 	3  	54.4628	42.6659	1024  	1.84309 	2.70493	198.749	3  	231.571	192.815	1024  	7.49534	2.70493
4  	1024  	62.7061	4  	65.9761	53.5706	1024  	2.01588 	2.57747	213.939	4  	244.856	210    	1024  	6.13611	2.57747
5  	1024  	44.2784	5  	47.3849	36.2503	1024  	2.80446 	2.28819	192.367	5  	224.968	189.426	1024  	4.31381	2.28819
6  	1024  	5.94337	6  	6.55196	4.45935	1024  	0.600449	1.62384	181.092	6  	201.662	177.716	1024  	4.11399	1.62384
7  	1024  	11.7911	7  	14.478 	8.73976	1024  	1.7047  	1.55695	183.404	7  	196.276	179.825	1024  	4.18565	1.55695
8  	1024  	11.8141	8  	13.2849	9.13972	1024  	1.00294 	1.69815	185.41 	8  	197.736	182.976	1024  	3.17986	1.69815
9  	1024  	36.2614	9  	41.1644	29.0811	1024  	2.59229 	2.03024	190.665	9  	205.553	187.451	1024  	3.1983 	2.03024
10 	1024  	55.2004	10 	64.8292	42.1998	1024  	4.80136 	2.25345	193.171	10 	206.63 	191.535	1024  	2.23196	2.25345
11 	1024  	44.6528	11 	46.7973	38.6597	1024  	2.19098 	2.31305	196.885	11 	209.77 	195.53 	1024  	1.95385	2.31305
12 	1024  	22.4907	12 	24.665 	17.7089	1024  	1.87576 	2.04408	182.742	12 	198.27 	181.325	1024  	2.30044	2.04408
13 	1024  	34.7753	13 	38.7049	27.6704	1024  	2.89674 	2.09441	188.828	13 	205.745	187.045	1024  	2.76132	2.09441
14 	1024  	28.3925	14 	32.333 	23.2587	1024  	2.44617 	2.09239	191.65 	14 	207.077	189.748	1024  	2.68249	2.09239
15 	1024  	41.2313	15 	46.098 	34.1061	1024  	3.67575 	2.05149	192.035	15 	206.705	190.46 	1024  	2.2019 	2.05149
16 	1024  	70.0281	16 	73.6335	55.6868	1024  	3.67715 	2.00263	182.621	16 	199.228	181.395	1024  	2.50362	2.00263
17 	1024  	22.4594	17 	24.5393	18.4427	1024  	1.75483 	1.76354	192.621	17 	208.727	190.989	1024  	3.01276	1.76354
18 	1024  	14.0263	18 	16.7511	8.98074	1024  	2.79718 	1.77592	175.042	18 	190.42 	172.814	1024  	3.41382	1.77592
19 	1024  	14.1614	19 	15.3432	12.1   	1024  	0.933475	1.53913	177.067	19 	190.372	174.174	1024  	4.08741	1.53913
20 	1024  	8.27056	20 	11.8225	6.12044	1024  	1.30365 	1.48431	180.198	20 	191.068	176.608	1024  	3.83001	1.48431
21 	1024  	10.3879	21 	12.455 	8.33895	1024  	1.41983 	1.61643	166.443	21 	177.561	162.063	1024  	4.49715	1.61643
22 	1024  	40.2504	22 	47.2212	33.1828	1024  	4.22326 	2.32695	196.729	22 	211.436	195.058	1024  	2.37967	2.32695
23 	1024  	35.8881	23 	41.2149	29.2745	1024  	4.05655 	2.03778	191.626	23 	206.629	188.919	1024  	3.67023	2.03778
