
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	min    	nevals	std    	time   	avg    	gen	max    	min    	nevals	std   	time   
0  	1024  	91.4456	0  	92.751	78.8473	1024  	1.12182	1.04285	226.945	0  	268.559	206.586	1024  	13.363	1.04285
1  	1024  	36.3341	1  	38.0604	26.9158	1024  	1.5193 	2.18014	192.34 	1  	220.101	183.589	1024  	6.74615	2.18014
2  	1024  	102.303	2  	109.488	83.7311	1024  	6.34805	2.66484	214.926	2  	252.269	208.826	1024  	6.72286	2.66484
3  	1024  	51.265 	3  	53.9337	42.6645	1024  	2.14349	2.55477	198.662	3  	235.198	192.815	1024  	7.53194	2.55477
4  	1024  	62.2474	4  	65.5403	51.4308	1024  	2.56063	2.56072	212.791	4  	245.167	210.142	1024  	3.82597	2.56072
5  	1024  	44.1282	5  	46.9234	36.0982	1024  	3.08563	2.17234	191.795	5  	209.564	189.299	1024  	3.21797	2.17234
6  	1024  	5.83233	6  	6.53587	4.55438	1024  	0.652514	1.55572	181.545	6  	194.458	177.688	1024  	4.2071 	1.55572
7  	1024  	11.1267	7  	14.1734	8.40611	1024  	1.98258 	1.50586	184.571	7  	198.143	179.825	1024  	4.79705	1.50586
8  	1024  	11.2134	8  	13.0186	8.17748	1024  	1.24506 	1.6474 	187.458	8  	200.092	182.795	1024  	4.56845	1.6474 
9  	1024  	34.3818	9  	41.0013	29.3529	1024  	3.4857  	2.04596	193.249	9  	206.91 	187.451	1024  	4.38097	2.04596
10 	1024  	54.1918	10 	64.7399	41.7081	1024  	4.27368 	2.22474	195.182	10 	210.338	191.535	1024  	4.17117	2.22474
11 	1024  	43.0209	11 	46.8378	37.8339	1024  	3.17763 	2.25618	198.897	11 	215.441	195.529	1024  	4.11466	2.25618
12 	1024  	21.7853	12 	24.4826	18.2342	1024  	2.20103 	2.08455	184.189	12 	198.999	181.362	1024  	3.60474	2.08455
13 	1024  	33.2147	13 	38.1113	27.5805	1024  	3.25083 	2.09891	191.35 	13 	207.422	187.068	1024  	4.05956	2.09891
14 	1024  	26.723 	14 	32.2352	22.741 	1024  	3.10072 	2.03673	193.9  	14 	208.027	189.75 	1024  	4.02625	2.03673
15 	1024  	39.2315	15 	46.2043	33.531 	1024  	3.84711 	2.0774 	193.846	15 	208.201	190.234	1024  	3.17406	2.0774 
16 	1024  	67.4391	16 	73.5209	55.0849	1024  	4.35328 	2.08242	184.983	16 	199.071	181.395	1024  	3.7086 	2.08242
