
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg   	gen	max   	min    	nevals	std    	time   	avg    	gen	max   	min    	nevals	std    	time   
0  	1024  	91.423	0  	92.751	77.7271	1024  	1.14852	1.06413	226.823	0  	269.91	206.728	1024  	13.6597	1.06413
1  	1024  	36.3414	1  	38.2205	27.5117	1024  	1.43961	2.14482	192.304	1  	221.154	183.498	1024  	6.66263	2.14482
2  	1024  	102.57 	2  	109.478	85.7895	1024  	6.10808	2.52088	215.63 	2  	247.389	208.916	1024  	7.85929	2.52088
3  	1024  	51.1878	3  	53.9994	43.2533	1024  	2.16543	2.53798	198.979	3  	229.932	192.798	1024  	7.5675 	2.53798
4  	1024  	62.1746	4  	66.168 	52.2643	1024  	2.46739	2.34954	214    	4  	244.133	210.151	1024  	5.45523	2.34954
5  	1024  	43.7635	5  	47.4766	36.5335	1024  	3.19011	2.24787	192.653	5  	215.312	189.427	1024  	3.99184	2.24787
6  	1024  	5.89974	6  	6.55196	4.5212 	1024  	0.575852	1.67242	181.248	6  	187.206	177.68 	1024  	3.67335	1.67242
7  	1024  	12.0177	7  	14.5742	8.49787	1024  	1.64107 	1.42207	183.07 	7  	196.238	179.851	1024  	3.71111	1.42207
8  	1024  	11.7036	8  	13.0941	8.82743	1024  	0.980761	1.60774	185.903	8  	204.039	182.669	1024  	3.35023	1.60774
9  	1024  	36.3243	9  	41.0764	27.4455	1024  	2.97239 	1.82215	190.957	9  	205.682	187.451	1024  	3.52706	1.82215
10 	1024  	55.3338	10 	64.5972	43.0479	1024  	3.51315 	2.03474	193.696	10 	208.169	191.542	1024  	2.52286	2.03474
11 	1024  	43.9799	11 	46.8528	38.7067	1024  	2.14363 	2.04053	197.991	11 	212.892	195.532	1024  	2.43393	2.04053
12 	1024  	21.4517	12 	24.7883	18.0588	1024  	1.97404 	1.95765	184.984	12 	198.252	181.362	1024  	3.46488	1.95765
13 	1024  	34.3163	13 	38.0689	28.8885	1024  	2.78301 	1.9309 	190.943	13 	206.052	187.07 	1024  	4.02917	1.9309 
14 	1024  	27.3274	14 	32.2352	23.6222	1024  	2.78589 	1.89654	193.822	14 	208.289	189.748	1024  	4.00006	1.89654
15 	1024  	40.9503	15 	46.2043	32.2387	1024  	3.64029 	1.91971	193.034	15 	206.739	190.46 	1024  	3.29088	1.91971
16 	1024  	69.0984	16 	73.6335	55.1302	1024  	3.77769 	1.90314	183.294	16 	207.001	181.395	1024  	3.05119	1.90314
17 	1024  	22.2618	17 	24.7553	18.7272	1024  	1.74467 	1.64687	193.522	17 	209.85 	191.004	1024  	3.1656 	1.64687
18 	1024  	13.3697	18 	16.7511	8.86734	1024  	2.93637 	1.62548	175.997	18 	189.918	172.816	1024  	3.8056 	1.62548
19 	1024  	13.9754	19 	15.3432	12.1   	1024  	0.952218	1.43385	178.684	19 	190.199	174.18 	1024  	4.14861	1.43385
20 	1024  	8.59871	20 	11.8225	6.45048	1024  	1.30003 	1.44479	179.532	20 	190.699	176.696	1024  	3.12242	1.44479
21 	1024  	11.1323	21 	12.5768	8.64461	1024  	1.02911 	1.41838	164.705	21 	178.297	162.06 	1024  	3.33156	1.41838
22 	1024  	41.7942	22 	47.0976	32.1337	1024  	4.13862 	2.03365	196.438	22 	211.673	195.138	1024  	2.04573	2.03365
23 	1024  	35.018 	23 	41.2312	29.7428	1024  	3.27112 	1.82606	191.974	23 	206.616	188.916	1024  	3.03136	1.82606
24 	1024  	31.7153	24 	34.5373	28.5228	1024  	1.60051 	1.48426	176.286	24 	190.573	172.984	1024  	3.26594	1.48426
25 	1024  	0.96552	25 	1.11741	0.558841	1024  	0.117822	1.27893	165.382	25 	179.21 	162.81 	1024  	3.55096	1.27893
26 	1024  	5.02042	26 	5.73745	3.73027 	1024  	0.580922	1.27833	181.623	26 	193.476	178.541	1024  	3.358  	1.27833
27 	1024  	5.96798	27 	7.21465	4.40598 	1024  	0.726603	1.48531	176.17 	27 	187.718	172.069	1024  	3.77791	1.48531
28 	1024  	30.5896	28 	36.9567	25.3937 	1024  	3.33406 	1.97313	182.109	28 	197.081	178.629	1024  	3.50458	1.97313
29 	1024  	52.8718	29 	59.1025	47.9108 	1024  	3.07639 	1.9327 	196.962	29 	212.192	194.594	1024  	2.8041 	1.9327 
30 	1024  	33.0753	30 	39.0307	25.9052 	1024  	2.70175 	1.62799	187.824	30 	202.976	185.468	1024  	3.01929	1.62799
31 	1024  	13.3033	31 	16.604 	9.18875 	1024  	1.7744  	1.55314	172.659	31 	186.525	169.304	1024  	3.65704	1.55314
32 	1024  	29.1519	32 	30.5702	27.2408 	1024  	0.747033	1.67171	172.582	32 	186.819	169.419	1024  	3.67496	1.67171
33 	1024  	6.22595	33 	8.02564	4.79858 	1024  	0.834041	1.58472	166.603	33 	179.078	162.857	1024  	3.32057	1.58472
34 	1024  	1.80743	34 	1.96481	1.17276 	1024  	0.0929535	1.26399	177.611	34 	189.041	173.125	1024  	3.93508	1.26399
35 	1024  	25.6699	35 	29.6983	21.6963 	1024  	2.21101  	2.10555	197.167	35 	211.43 	193.278	1024  	3.68276	2.10555
36 	1024  	84.3722	36 	109.097	72.3143 	1024  	9.25394  	2.38127	209.073	36 	224.223	206.926	1024  	2.01438	2.38127
37 	1024  	128.375	37 	150.458	111.209 	1024  	7.74049  	2.46664	205.674	37 	219.475	203.955	1024  	2.31741	2.46664
38 	1024  	63.4367	38 	70.6033	51.1743 	1024  	4.58282  	2.42215	199.056	38 	222.716	197.943	1024  	2.36784	2.42215
39 	1024  	43.578 	39 	49.6842	36.0027 	1024  	3.56038  	2.06231	190.728	39 	208.846	188.64 	1024  	2.74683	2.06231
40 	1024  	81.3561	40 	97.962 	61.8226 	1024  	13.5989  	2.0774 	202.904	40 	221.622	201.351	1024  	2.48428	2.0774 
41 	1024  	22.3613	41 	25.483 	19.572  	1024  	1.39083  	1.41454	183.572	41 	196.212	181.674	1024  	2.19921	1.41454
42 	1024  	3.23275	42 	3.99211	2.57612 	1024  	0.254676 	1.3514 	175.524	42 	188.038	173.553	1024  	2.2129 	1.3514 
43 	1024  	75.8752	43 	84.9338	70.0298 	1024  	3.42212  	2.22019	202.701	43 	222.108	201.35 	1024  	2.08852	2.22019
44 	1024  	49.1756	44 	57.7357	40.6142 	1024  	3.96942  	2.25602	211.418	44 	231.013	209.818	1024  	2.59166	2.25602
45 	1024  	67.5035	45 	76.1051	63.0367 	1024  	3.13913  	2.13413	201.615	45 	220.566	199.415	1024  	3.34176	2.13413
46 	1024  	59.2571	46 	70.9402	49.9296 	1024  	5.62943  	2.05258	194.157	46 	212.42 	192.09 	1024  	3.32946	2.05258
47 	1024  	52.8074	47 	59.1663	46.2754 	1024  	3.42635  	2.0475 	196.415	47 	225.025	192.532	1024  	4.49842	2.0475 
48 	1024  	38.7068	48 	46.2502	33.0553 	1024  	4.08759  	2.16334	202.286	48 	219.478	199.607	1024  	3.7198 	2.16334
49 	1024  	46.0277	49 	51.6139	37.437  	1024  	4.31518  	1.86718	193.825	49 	216.226	191.729	1024  	3.29418	1.86718
50 	1024  	46.2698	50 	50.0111	41.9849 	1024  	2.08789  	1.64038	177.709	50 	192.723	174.558	1024  	3.67553	1.64038
51 	1024  	9.64491	51 	11.806 	7.9508  	1024  	1.18269  	1.39393	183.664	51 	197.451	179.561	1024  	4.64348	1.39393
52 	1024  	12.2966	52 	16.1029	8.7299  	1024  	1.88975  	1.49706	174.832	52 	188.646	170.428	1024  	4.95391	1.49706
53 	1024  	5.49163	53 	8.09697	3.76222 	1024  	1.28571  	1.35754	168.456	53 	180.741	163.031	1024  	5.40302	1.35754
54 	1024  	6.6921 	54 	9.10697	5.30624 	1024  	0.896992 	1.39493	168.835	54 	175.878	164.617	1024  	4.75289	1.39493
55 	1024  	41.0049	55 	49.6291	31.2008 	1024  	5.01696  	1.7684 	184.006	55 	199.031	180.521	1024  	3.72663	1.7684 
56 	1024  	7.1639 	56 	9.60707	5.45613 	1024  	1.22606  	1.56495	171.234	56 	184    	166.726	1024  	4.91611	1.56495
57 	1024  	29.9994	57 	31.683 	28.5565 	1024  	0.815408 	1.57613	168.02 	57 	179.803	164.465	1024  	3.94775	1.57613
58 	1024  	191.028	58 	196.472	170.046 	1024  	5.15418  	1.6574 	182.676	58 	198.926	179.615	1024  	3.55566	1.6574 
59 	1024  	10.6884	59 	14.5462	8.72464 	1024  	1.54433  	1.47601	174.978	59 	187.533	171.537	1024  	3.44357	1.47601
60 	1024  	30.7391	60 	35.9752	23.7761 	1024  	2.16095  	2.1597 	189.253	60 	205.338	186.773	1024  	3.11551	2.1597 
61 	1024  	72.7713	61 	76.2619	66.7539 	1024  	2.06977  	1.94171	194.412	61 	209.282	191.737	1024  	3.33795	1.94171
62 	1024  	36.5258	62 	43.2055	31.41   	1024  	3.27258  	1.90234	185.473	62 	201.996	183.788	1024  	2.67392	1.90234
63 	1024  	85.0064	63 	91.0925	56.8737 	1024  	9.32759  	1.8054 	192.332	63 	215.563	190.912	1024  	2.62785	1.8054 
64 	1024  	29.8268	64 	34.3301	24.4707 	1024  	2.61194  	1.7599 	194.35 	64 	209.783	192.409	1024  	2.83047	1.7599 
65 	1024  	62.4734	65 	93.1318	54.4024 	1024  	3.16968  	1.70662	183.609	65 	199.264	181.604	1024  	3.13578	1.70662
66 	1024  	21.521 	66 	26.0927	18.0855 	1024  	2.11305  	1.72069	193.131	66 	209.178	190.432	1024  	3.95584	1.72069
67 	1024  	34.66  	67 	39.1421	29.198  	1024  	3.12342  	1.99332	186.874	67 	203.271	184.351	1024  	3.66662	1.99332
68 	1024  	70.5246	68 	82.1574	58.4406 	1024  	7.94949  	2.43194	201.807	68 	219.847	200.435	1024  	2.22335	2.43194
69 	1024  	99.0565	69 	105.675	76.104  	1024  	5.42559  	2.25093	202.471	69 	230.217	201.33 	1024  	2.36191	2.25093
[gen 69] Wrote all fronts to ./results/training/20250908-0435/nsw_Bitbrains_3OS_NSGP2_core_40_run_27_gen_69_fronts.json
