
Due to MODULEPATH changes, the following have been reloaded:
  1) libfabric/1.19.0

The following have been reloaded with a version change:
  1) hwloc/2.7.2 => hwloc/2.9.2

CPU count: 40
   	      	                     communication                     	                         energy                        
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	min   	nevals	std    	time   	avg    	gen	max    	min    	nevals	std    	time   
0  	1024  	106.588	0  	109.855	87.069	1024  	4.53381	1.22167	224.741	0  	266.141	208.823	1024  	12.6531	1.22167
1  	1024  	103.13 	1  	109.337	86.7642	1024  	5.78218	2.43102	217.261	1  	249.058	208.823	1024  	6.90877	2.43102
2  	1024  	100.31 	2  	109.337	86.7642	1024  	6.65604	2.40798	214.924	2  	243.961	208.823	1024  	6.39624	2.40798
3  	1024  	97.9926	3  	109.359	86.6609	1024  	6.83506	2.42496	214.244	3  	243.961	208.823	1024  	6.9702 	2.42496
4  	1024  	97.1163	4  	109.116	85.7001	1024  	6.78614	2.58094	212.75 	4  	237.105	208.823	1024  	5.11521	2.58094
5  	1024  	96.9898	5  	108.57 	85.7001	1024  	6.82062	2.72156	211.45 	5  	233.776	208.823	1024  	3.70573	2.72156
6  	1024  	94.7082	6  	108.233	81.7358	1024  	5.47288	2.73379	211.688	6  	233.409	208.823	1024  	4.05181	2.73379
7  	1024  	93.974 	7  	103.54 	81.7358	1024  	5.50934	2.74853	211.846	7  	236.406	208.823	1024  	4.47793	2.74853
8  	1024  	94.4254	8  	103.54 	81.7358	1024  	5.46695	2.71975	210.827	8  	233.409	208.823	1024  	2.82969	2.71975
9  	1024  	94.8499	9  	103.54 	81.7358	1024  	5.50877	2.70806	210.349	9  	233.409	208.823	1024  	2.48105	2.70806
10 	1024  	95.0718	10 	103.54 	81.7358	1024  	5.88669	2.7834 	210.224	10 	219.926	208.823	1024  	1.94761	2.7834 
11 	1024  	95.4651	11 	103.54 	81.7358	1024  	6.0082 	2.4634 	210.022	11 	219.562	208.823	1024  	1.81077	2.4634 
12 	1024  	95.1389	12 	103.54 	79.3469	1024  	6.07597	2.43657	209.954	12 	231.145	208.778	1024  	1.77767	2.43657
13 	1024  	94.6451	13 	103.54 	78.9383	1024  	6.45889	2.69732	209.978	13 	227.363	208.778	1024  	1.80206	2.69732
14 	1024  	94.2665	14 	103.54 	78.9383	1024  	6.91727	2.74602	210.062	14 	230.387	208.778	1024  	2.1907 	2.74602
15 	1024  	93.7248	15 	103.54 	77.2314	1024  	7.78755	2.72903	210.446	15 	230.419	208.778	1024  	2.86299	2.72903
16 	1024  	93.6628	16 	103.54 	77.2314	1024  	7.99404	2.86011	210.158	16 	217.275	208.774	1024  	2.10595	2.86011
17 	1024  	93.7715	17 	103.861	77.2314	1024  	8.16993	2.84432	210.045	17 	231.449	208.774	1024  	2.12738	2.84432
18 	1024  	93.6753	18 	103.438	76.4623	1024  	8.19749	2.76785	209.968	18 	231.449	208.774	1024  	2.09542	2.76785
19 	1024  	93.1563	19 	103.438	75.363 	1024  	8.59969	2.65687	210.049	19 	221.211	208.774	1024  	1.94376	2.65687
20 	1024  	92.049 	20 	103.438	75.2186	1024  	9.16663	2.64081	210.403	20 	231.449	208.774	1024  	2.30052	2.64081
21 	1024  	92.2437	21 	103.352	75.2186	1024  	9.42252	2.75713	210.4  	21 	221.267	208.774	1024  	2.25157	2.75713
22 	1024  	92.3546	22 	103.25 	75.2186	1024  	9.27149	2.80673	210.119	22 	221.267	208.773	1024  	2.25485	2.80673
